orf_id	ref dbname	EC	product	value
	refseq-nr-2014-01-18		putative PLP-dependent enzyme possibly involved cell wall biogenesis	8.0
	seed-2014-01-30		DegT/DnrJ/EryC1/StrS family protein	2.0

L2_75_9				
	refseq-nr-2014-01-18		MFS transporter	2.0
	seed-2014-01-30		transporter, putative	2.0

L2_75_10				
	refseq-nr-2014-01-18		twitching mobility protein PilT	3.0

L2_75_11				
	refseq-nr-2014-01-18		AbrB family transcriptional regulator	4.0
	seed-2014-01-30		Transcriptional regulator AbrB	3.0

L2_75_12	COG_2013-12-27		COG1136 # V Defense mechanisms Function: ABC-type antimicrobial peptide transport system, ATPase component Organism: Escherichia coli O157:H7 (Ecs)	18.0
	refseq-nr-2014-01-18		Lipoprotein releasing system ATP-binding protein LolD	5.0
	seed-2014-01-30		Lipoprotein releasing system ATP-binding protein LolD	5.0

L2_75_13				
	seed-2014-01-30		FIG00911803: 	1.0

L2_75_14	COG_2013-12-27		COG0014 # E Amino acid transport metabolism Function: Gamma-glutamyl phosphate reductase Organism: Streptococcus pneumoniae TIGR4 (Spn)	16.0
	refseq-nr-2014-01-18		gamma-glutamyl phosphate reductase	3.0
	seed-2014-01-30	1.2.1.41	Gamma-glutamyl phosphate reductase (EC 1.2.1.41)	15.0
	metacyc-v4-2011-07-03	1.2.1.41	Gamma-glutamyl phosphate reductase OS Bacteroides vulgatus (strain ATCC 8482 / DSM 1447 NCTC 11154) GN proA PE 3 SV 1 # UNIPROT A6KXU8 GLUTSEMIALDEHYDROG-RXN 1.2.1.41	35.0

L2_75_15				
	refseq-nr-2014-01-18		Glutamate 5-kinase	2.0
	seed-2014-01-30	2.7.2.11	Glutamate 5-kinase (EC 2.7.2.11)	14.0
	metacyc-v4-2011-07-03	2.7.2.11	Glutamate 5-kinase OS Bacteroides thetaiotaomicron GN proB PE 3 SV 1 # UNIPROT Q8A1E7 GLUTKIN-RXN 2.7.2.11	26.0

L2_75_16	COG_2013-12-27		COG2076 # P Inorganic ion transport metabolism Function: Membrane transporters cations cationic drugs Organism: Nostoc sp. PCC 7120 (Nos)	19.0
	refseq-nr-2014-01-18		multidrug transporter	2.0
	seed-2014-01-30		Ethidium bromide-methyl viologen resistance protein EmrE	5.0

L2_75_17				
	refseq-nr-2014-01-18		sodium:proton antiporter	2.0
	seed-2014-01-30		Na+/H+ antiporter	2.0

L2_75_19				
	refseq-nr-2014-01-18		peptide deformylase	2.0
	seed-2014-01-30	3.5.1.88	Peptide deformylase (EC 3.5.1.88)	14.0

L2_75_20				
	refseq-nr-2014-01-18		methionyl-tRNA formyltransferase	2.0
	seed-2014-01-30	2.1.2.9	Methionyl-tRNA formyltransferase (EC 2.1.2.9)	14.0

L2_75_22				
	refseq-nr-2014-01-18		XRE family transcriptional regulator	4.0
	seed-2014-01-30		transcriptional regulator, XRE family	4.0

L2_75_23	COG_2013-12-27		COG2944 # K Transcription Function: Predicted transcriptional regulator Organism: Nostoc sp. PCC 7120 (Nos)	14.0
	refseq-nr-2014-01-18		XRE family transcriptional regulator	4.0
	seed-2014-01-30		putative transcriptional regulator	3.0

L2_75_24				
	refseq-nr-2014-01-18		addiction module toxin RelE	4.0
	seed-2014-01-30		FIG071147: 	1.0

L2_75_26				
	seed-2014-01-30		FIG00505459: 	1.0

L2_75_27	COG_2013-12-27		COG0481 # M Cell wall/membrane/envelope biogenesis Function: Membrane GTPase LepA Organism: Streptococcus pyogenes M1 GAS (Spy)	16.0
	refseq-nr-2014-01-18		Translation elongation factor LepA	4.0
	seed-2014-01-30		Translation elongation factor LepA	4.0

L2_74_2				
	refseq-nr-2014-01-18		tRNA (5-methylaminomethyl-2-thiouridylate)-methyltransferase	2.0
	seed-2014-01-30		tRNA-specific 2-thiouridylase MnmA	3.0

L2_74_3				
	refseq-nr-2014-01-18		phospholipase	1.0
	seed-2014-01-30		carboxylesterase family protein	2.0

L2_74_4	COG_2013-12-27		COG1410 # E Amino acid transport metabolism Function: Methionine synthase I, cobalamin-binding domain Organism: Agrobacterium tumefaciens strain C58 (Cereon) (Atu)	20.0
	refseq-nr-2014-01-18		methionine synthase	2.0
	seed-2014-01-30	2.1.1.13	5-methyltetrahydrofolate--homocysteine methyltransferase (EC 2.1.1.13)	14.0
	metacyc-v4-2011-07-03	2.1.1.13	Methionine synthase OS Bos taurus GN MTR PE 2 SV 1 # UNIPROT Q4JIJ3 HOMOCYSMETB12-RXN CATTLE:280869-MONOMER 2.1.1.13	27.0

L2_74_5				
	refseq-nr-2014-01-18		Metal-dependent phosphohydrolase, HD subdomain	4.0
	seed-2014-01-30		Metal-dependent phosphohydrolase, HD subdomain	4.0

L2_77_1				
	seed-2014-01-30		FIG00497350: 	1.0

L2_77_4				
	refseq-nr-2014-01-18		MULTISPECIES: 	1.0

L2_77_5				
	seed-2014-01-30		FIG00913126: 	1.0

L2_77_7				
	refseq-nr-2014-01-18		putative metal-dependent hydrolase	3.0
	seed-2014-01-30		Putative predicted metal-dependent hydrolase	3.0

L2_77_8				
	refseq-nr-2014-01-18		type I restriction-modification system, R subunit	6.0
	seed-2014-01-30	3.1.21.3	Type I restriction-modification system, restriction subunit R (EC 3.1.21.3)	19.0

L2_77_9				
	seed-2014-01-30		FIG00770084: 	1.0

L2_77_10				
	refseq-nr-2014-01-18		DNA polymerase beta domain-containing protein	4.0
	seed-2014-01-30		DNA polymerase, beta-like region	4.0

L2_77_12				
	refseq-nr-2014-01-18		PF01939 domain protein	2.0
	seed-2014-01-30		possible multi-domain protein	2.0

L2_77_14				
	refseq-nr-2014-01-18		type I restriction-modification system, M subunit	6.0
	seed-2014-01-30	2.1.1.72	Type I restriction-modification system, DNA-methyltransferase subunit M (EC 2.1.1.72)	19.0

L2_77_15				
	refseq-nr-2014-01-18		DNA-damage-inducible protein D family	3.0
	seed-2014-01-30		DNA-damage-inducible protein D	2.0

L2_77_16				
	refseq-nr-2014-01-18		PF12441 family protein	2.0

L2_77_19				
	refseq-nr-2014-01-18		ATPase AAA superfamily	3.0

L2_77_20				
	refseq-nr-2014-01-18		ABC-type multidrug transport system, permease component	6.0
	seed-2014-01-30		ABC-2 type transporter family protein	4.0

L2_77_21				
	refseq-nr-2014-01-18		ABC transport system, permease component YbhR	6.0
	seed-2014-01-30		ABC transport system, permease component YbhR	6.0

L2_77_22	COG_2013-12-27		COG1131 # V Defense mechanisms Function: ABC-type multidrug transport system, ATPase component Organism: Escherichia coli O157:H7 EDL933 (EcZ)	18.0
	refseq-nr-2014-01-18		putative ABC transporter ATP-binding protein	4.0
	seed-2014-01-30		ABC transporter multidrug efflux pump, fused ATP-binding domains	8.0

L2_77_23				
	refseq-nr-2014-01-18		ABC transporter, ATP-binding/permease protein	3.0
	seed-2014-01-30		putative ABC transporter ATP-binding protein	4.0

L2_77_25				
	refseq-nr-2014-01-18		ABC transporter	2.0
	seed-2014-01-30		Predicted membrane fusion protein (MFP) component efflux pump, anchor YbhG	9.0

L2_77_26	COG_2013-12-27		COG0410 # E Amino acid transport metabolism Function: ABC-type branched-chain amino systems, ATPase component Organism: Salmonella typhimurium LT2 (Sty)	19.0
	refseq-nr-2014-01-18		branched-chain amino acid ABC transporter ATP-binding protein	6.0
	seed-2014-01-30		Branched-chain amino acid transport ATP-binding protein LivF (TC 3.A.1.4.1)	8.0

L2_77_27				
	refseq-nr-2014-01-18		ABC-type branched-chain amino acid transport system, ATPase component	8.0
	seed-2014-01-30		Branched-chain amino acid transport ATP-binding protein LivG (TC 3.A.1.4.1)	8.0

L2_77_28				
	refseq-nr-2014-01-18		branched-chain amino acid ABC transporter permease	6.0
	seed-2014-01-30		Branched-chain amino acid transport system permease protein LivM (TC 3.A.1.4.1)	9.0

L2_77_29				
	refseq-nr-2014-01-18		branched-chain amino acid ABC transporter permease	6.0
	seed-2014-01-30		High-affinity branched-chain amino acid transport system permease protein LivH (TC 3.A.1.4.1)	10.0

L2_77_30				
	refseq-nr-2014-01-18		branched-chain amino acid ABC transporter substrate-binding protein	6.0
	seed-2014-01-30		High-affinity leucine-specific transport system, periplasmic binding protein LivK (TC 3.A.1.4.1)	9.0

L2_77_32				
	refseq-nr-2014-01-18		Phosphoenolpyruvate-dependent sugar phosphotransferase system, EIIA 2	6.0
	seed-2014-01-30		Osmosensitive K+ channel histidine kinase KdpD (EC 2.7.3.-)	8.0

L2_77_33				
	refseq-nr-2014-01-18		chlorosome envelope protein B	3.0
	seed-2014-01-30		Chlorosome protein B envelope	3.0

L2_76_0				
	refseq-nr-2014-01-18		short-chain dehydrogenase	2.0
	seed-2014-01-30		Short-chain dehydrogenase/reductase SDR	3.0

L2_76_1				
	refseq-nr-2014-01-18		transporter	1.0
	seed-2014-01-30		outer membrane efflux protein	3.0

L2_73_0				
	refseq-nr-2014-01-18		PAS:Response regulator receiver:ATP-binding region, ATPase-like:Histidine kinase A-like	7.0
	seed-2014-01-30		PAS/PAC sensor hybrid histidine kinase	5.0

L2_73_1				
	refseq-nr-2014-01-18		chemotaxis protein B	2.0
	seed-2014-01-30	2.1.1.80	Chemotaxis protein methyltransferase CheR (EC 2.1.1.80)	15.0

L2_79_1				
	refseq-nr-2014-01-18		universal stress protein	2.0
	seed-2014-01-30		universal stress protein family	3.0

L2_79_2	COG_2013-12-27		COG1914 # P Inorganic ion transport metabolism Function: Mn2+ Fe2+ transporters NRAMP family Organism: Clostridium acetobutylicum (Cac)	17.0
	refseq-nr-2014-01-18		putative manganese transport protein MntH	4.0
	seed-2014-01-30		Manganese transport protein MntH	3.0

L2_79_4				
	seed-2014-01-30		FIG00495650: 	1.0

L2_79_6				
	seed-2014-01-30		FIG00497069: 	1.0

L2_79_10				
	seed-2014-01-30		FIG00498943: 	1.0

L2_79_11				
	refseq-nr-2014-01-18		PAS:Response regulator receiver:ATP-binding region, ATPase-like:Histidine kinase A-like	7.0
	seed-2014-01-30		two-component system sensor histidine kinase	5.0

L2_79_12	COG_2013-12-27		COG0229 # O Posttranslational modification, protein turnover, chaperones Function: Conserved domain frequently associated peptide methionine sulfoxide reductase Organism: Ralstonia solanacearum (Rso)	20.0
	refseq-nr-2014-01-18		Peptide methionine sulfoxide reductase MsrB	5.0
	seed-2014-01-30	1.8.4.12	Peptide methionine sulfoxide reductase MsrB (EC 1.8.4.12)	17.0

L2_79_14	COG_2013-12-27		NULL # N Cell motility Function: Flagellin related hook-associated proteins Organism: Ralstonia solanacearum (Rso)	14.0
	refseq-nr-2014-01-18		protein unknown function DUF1275, partial	4.0
	seed-2014-01-30		Probable transmembrane protein	2.0

L2_79_15				
	refseq-nr-2014-01-18		transposase	1.0
	seed-2014-01-30		transposase IS4 family protein	3.0

L2_79_17				
	refseq-nr-2014-01-18		NADPH-dependent FMN reductase	3.0
	seed-2014-01-30		Putative oxidoreductase	2.0

L2_79_18				
	refseq-nr-2014-01-18		adenosine deaminase	2.0
	seed-2014-01-30	3.5.4.4	Adenosine deaminase (EC 3.5.4.4)	14.0

L2_79_19				
	seed-2014-01-30		FIG00977026: 	1.0

L2_78_0				
	refseq-nr-2014-01-18		glutamyl-tRNA reductase	2.0
	seed-2014-01-30	1.2.1.70	Glutamyl-tRNA reductase (EC 1.2.1.70)	14.0
	metacyc-v4-2011-07-03	1.2.1.70	Glutamyl-tRNA reductase OS Chloroherpeton thalassium (strain ATCC 35110 / GB-78) GN hemA PE 3 SV 1 # UNIPROT B3QWI0 GLUTRNAREDUCT-RXN 1.2.1.70	31.0

L2_78_1	COG_2013-12-27		COG0181 # H Coenzyme transport metabolism Function: Porphobilinogen deaminase Organism: Escherichia coli O157:H7 EDL933 (EcZ)	15.0
	refseq-nr-2014-01-18		Porphobilinogen deaminase	2.0
	seed-2014-01-30	2.5.1.61	Porphobilinogen deaminase (EC 2.5.1.61) [Haemophilus	15.0
	metacyc-v4-2011-07-03	2.5.1.61	Porphobilinogen deaminase OS Pelobacter carbinolicus (strain DSM 2380 / Gra Bd 1) GN hemC PE 3 SV 1 # UNIPROT Q3A009 OHMETHYLBILANESYN-RXN 2.5.1.61	33.0

L2_78_2				
	refseq-nr-2014-01-18		uroporphyrinogen-III synthase	2.0
	seed-2014-01-30	4.2.1.75	Uroporphyrinogen-III synthase (EC 4.2.1.75)	14.0
	metacyc-v4-2011-07-03	4.2.1.75	Uroporphyrinogen-III synthase OS Chlorobium tepidum GN hemD PE 3 SV 1 # UNIPROT Q8KCJ3 UROGENIIISYN-RXN 4.2.1.75	26.0

L2_78_3				
	seed-2014-01-30		FIG00495880: 	1.0

L2_78_4				
	refseq-nr-2014-01-18		histidinol phosphatase	2.0
	seed-2014-01-30	3.1.3.15	Histidinol-phosphatase (EC 3.1.3.15)	13.0

L2_78_6	COG_2013-12-27		COG4799 # I Lipid transport metabolism Function: Acetyl-CoA carboxylase, carboxyltransferase component (subunits alpha beta) Organism: Rickettsia prowazekii (Rpr)	18.0
	refseq-nr-2014-01-18		methylmalonyl-CoA carboxyltransferase	2.0
	seed-2014-01-30	4.1.1.41	Methylmalonyl-CoA decarboxylase, alpha chain (EC 4.1.1.41)	16.0
	metacyc-v4-2011-07-03	6.4.1.3	Probable propionyl-CoA carboxylase beta chain 5 OS Mycobacterium leprae GN accD5 PE 3 SV 1 # UNIPROT P53002 PROPIONYL-COA-CARBOXY-RXN MLEP272631:ML0731-MONOMER 6.4.1.3	31.0

L2_78_7				
	seed-2014-01-30		Membrane protein associated methylmalonyl-CoA decarboxylase	4.0

L2_78_8				
	refseq-nr-2014-01-18		MULTISPECIES: biofilm PGA synthesis protein PgaD	5.0
	seed-2014-01-30		Biotin carboxyl carrier protein methylmalonyl-CoA decarboxylase	5.0

L2_78_9	COG_2013-12-27		COG1883 # C Energy production conversion Function: Na+-transporting methylmalonyl-CoA/oxaloacetate decarboxylase, beta subunit Organism: Streptococcus pyogenes M1 GAS (Spy)	18.0
	refseq-nr-2014-01-18		glutaconyl-CoA decarboxylase subunit beta	4.0
	seed-2014-01-30	4.1.1.3	Oxaloacetate decarboxylase beta chain (EC 4.1.1.3)	16.0
	metacyc-v4-2011-07-03	4.1.1.70	Glutaconyl-CoA decarboxylase subunit beta OS Acidaminococcus fermentans (strain ATCC 25085 / DSM 20731 VR4) GN gcdB PE 1 SV # UNIPROT Q9ZAA6 GLUTACONYL-COA-DECARBOXYLASE-RXN MetaCyc:MONOMER-1055 4.1.1.70	35.0

L2_78_10				
	refseq-nr-2014-01-18		histidine kinase	2.0
	seed-2014-01-30		sensor histidine kinase/response regulator	4.0

L2_78_11				
	refseq-nr-2014-01-18		amine oxidase	2.0
	seed-2014-01-30		Neurosporene desaturase (EC 1.-.-.-)	4.0

L2_78_12				
	seed-2014-01-30		FIG00495942: 	1.0

L2_144_1				
	refseq-nr-2014-01-18		ATP-dependent DNA helicase	3.0
	seed-2014-01-30		ATP-dependent DNA helicase	3.0

L2_144_2	COG_2013-12-27		COG0854 # H Coenzyme transport metabolism Function: Pyridoxal phosphate biosynthesis protein Organism: Escherichia coli O157:H7 EDL933 (EcZ)	16.0
	refseq-nr-2014-01-18		pyridoxine 5'-phosphate synthase PdxJ	4.0
	seed-2014-01-30	2.6.99.2	Pyridoxine 5'-phosphate synthase (EC 2.6.99.2)	15.0
	metacyc-v4-2011-07-03	2.6.99.2	Pyridoxine 5'-phosphate synthase OS Desulfobacterium autotrophicum (strain ATCC 43914 / DSM 3382 HRM2) GN pdxJ PE 3 SV 1 # UNIPROT C0Q9S7 PDXJ-RXN 2.6.99.2	34.0

L2_144_3				
	refseq-nr-2014-01-18		deoxyribonucleotide triphosphate pyrophosphatase	3.0
	seed-2014-01-30	3.6.1.15	Nucleoside 5-triphosphatase RdgB (dHAPTP, dITP, XTP-specific) (EC 3.6.1.15)	18.0

L2_144_4				
	refseq-nr-2014-01-18		putative Undecaprenyl-diphosphatase 2	3.0
	seed-2014-01-30	3.6.1.27	Undecaprenyl-diphosphatase (EC 3.6.1.27)	13.0

L2_144_5				
	refseq-nr-2014-01-18		phosphotransferase	1.0
	seed-2014-01-30		COG0613, Predicted metal-dependent phosphoesterases (PHP family)	6.0

L2_144_6				
	refseq-nr-2014-01-18		ABC transporter permease	3.0
	seed-2014-01-30		ABC-type transport system involved resistance to organic solvents, permease component	10.0

L2_144_7				
	refseq-nr-2014-01-18		MULTISPECIES: organic solvent ABC transporter ATP-binding protein	6.0
	seed-2014-01-30		Methionine ABC transporter ATP-binding protein	4.0

L2_144_8				
	refseq-nr-2014-01-18		mammalian cell entry domain-containing protein	4.0
	seed-2014-01-30		VpsC protein	1.0

L2_144_9				
	refseq-nr-2014-01-18		beta-lactamase	1.0
	seed-2014-01-30		Beta-lactamase class C other penicillin binding proteins	7.0

L2_144_10				
	refseq-nr-2014-01-18		(2Fe-2S)-binding protein	1.0
	seed-2014-01-30		Phytoene desaturase (EC 1.14.99.-)	4.0

L2_144_11				
	refseq-nr-2014-01-18		4Fe-4S ferredoxin, iron-sulfur binding	4.0
	seed-2014-01-30		Epoxyqueuosine (oQ) reductase QueG	4.0

L2_144_12	COG_2013-12-27		COG0715 # P Inorganic ion transport metabolism Function: ABC-type nitrate/sulfonate/bicarbonate systems, periplasmic components Organism: Pseudomonas aeruginosa (Pae)	17.0
	refseq-nr-2014-01-18		aliphatic sulfonates family ABC transporter, substrate-binding protein	6.0
	seed-2014-01-30		COG0715: ABC-type nitrate/sulfonate/bicarbonate transport systems, periplasmic components	7.0

L2_144_13				
	refseq-nr-2014-01-18		DNA invertase	2.0
	seed-2014-01-30		DNA-invertase from lambdoid prophage e14	5.0

L2_144_14	COG_2013-12-27		COG0138 # F Nucleotide transport metabolism Function: AICAR transformylase/IMP cyclohydrolase PurH (only IMP domain Aful) Organism: Neisseria meningitidis MC58 (Nme)	20.0
	refseq-nr-2014-01-18		IMP cyclohydrolase / Phosphoribosylaminoimidazolecarboxamide formyltransferase	5.0
	seed-2014-01-30	3.5.4.10	IMP cyclohydrolase (EC 3.5.4.10) / Phosphoribosylaminoimidazolecarboxamide formyltransferase 2.1.2.3)	18.0
	metacyc-v4-2011-07-03	2.1.2.3	Bifunctional purine biosynthesis protein purH OS Chloroflexus aurantiacus (strain ATCC 29366 / DSM 635 J-10-fl) GN PE 3 SV 1 # UNIPROT A9WEK8 IMPCYCLOHYDROLASE-RXN 2.1.2.3 3.5.4.10	35.0

L2_144_15				
	refseq-nr-2014-01-18		NADPH-dependent FMN reductase	3.0
	seed-2014-01-30		NADPH-dependent FMN reductase	3.0

L2_144_16				
	refseq-nr-2014-01-18		TetR family transcriptional regulator	4.0
	seed-2014-01-30		Transcriptional regulator, TetR family	4.0

L2_144_17				
	refseq-nr-2014-01-18		putative hydrolase or acyltransferase alpha/beta superfamily	6.0
	seed-2014-01-30		Alpha/beta hydrolase fold precursor	4.0

L2_144_20				
	refseq-nr-2014-01-18		ATPase	1.0
	seed-2014-01-30		ATP-binding region, ATPase-like	3.0

L2_144_21				
	seed-2014-01-30		FIG00859528: 	1.0

L2_144_22				
	refseq-nr-2014-01-18		twitching motility protein PilT	3.0
	seed-2014-01-30		PilT protein domain	2.0

L2_144_23				
	refseq-nr-2014-01-18		phosphoribosylglycinamide formyltransferase	2.0
	seed-2014-01-30	2.1.2.2	Phosphoribosylglycinamide formyltransferase (EC 2.1.2.2)	14.0
	metacyc-v4-2011-07-03	2.1.2.2	Phosphoribosylglycinamide formyltransferase, chloroplastic OS Vigna unguiculata GN PUR3 PE 2 SV # UNIPROT P52423 GART-RXN 2.1.2.2	26.0

L2_144_24				
	refseq-nr-2014-01-18		7-carboxy-7-deazaguanine synthase	2.0
	seed-2014-01-30		Queuosine Biosynthesis QueE Radical SAM	5.0

L2_144_25				
	CAZY_2014_09_04		glycosyl transferase, family 2 [ (GT2)	6.0
	refseq-nr-2014-01-18		Glycosyl transferase, group 2 family protein	5.0
	seed-2014-01-30		Glycosyl transferase, family 2	4.0

L2_144_26	COG_2013-12-27		COG0648 # L Replication, recombination repair Function: Endonuclease IV Organism: Escherichia coli O157:H7 EDL933 (EcZ)	15.0
	refseq-nr-2014-01-18		endonuclease V	2.0
	seed-2014-01-30	3.1.21.2	Endonuclease IV (EC 3.1.21.2)	14.0

L2_144_27				
	refseq-nr-2014-01-18		cell division protein FtsX	3.0
	seed-2014-01-30		Cell division protein FtsX	3.0

L2_144_28				
	seed-2014-01-30		FIG00497252: 	1.0

L2_144_29				
	refseq-nr-2014-01-18		amidophosphoribosyltransferase	1.0
	seed-2014-01-30	2.4.2.14	Amidophosphoribosyltransferase (EC 2.4.2.14)	13.0

L2_144_30				
	refseq-nr-2014-01-18		TraR/DksA family transcriptional regulator	4.0
	seed-2014-01-30		DnaK suppressor protein, putative	4.0

L2_144_31	COG_2013-12-27		COG0060 # J Translation, ribosomal structure biogenesis Function: Isoleucyl-tRNA synthetase Organism: Clostridium acetobutylicum (Cac)	14.0
	refseq-nr-2014-01-18		isoleucyl-tRNA synthase	2.0
	seed-2014-01-30	6.1.1.5	Isoleucyl-tRNA synthetase (EC 6.1.1.5)	14.0
	metacyc-v4-2011-07-03	6.1.1.5	Isoleucyl-tRNA synthetase OS Chlorobium tepidum GN ileS PE 3 SV 1 # UNIPROT Q8KFL5 ISOLEUCINE--TRNA-LIGASE-RXN 6.1.1.5	26.0

L2_144_32				
	seed-2014-01-30		FIG00496120: 	1.0

L2_144_33	COG_2013-12-27		COG0836 # M Cell wall/membrane/envelope biogenesis Function: Mannose-1-phosphate guanylyltransferase Organism: Yersinia pestis (Ype)	13.0
	refseq-nr-2014-01-18		mannose-1-phosphate guanylyltransferase/mannose-6-phosphate isomerase	3.0
	seed-2014-01-30	2.7.7.22	Mannose-1-phosphate guanylyltransferase (GDP) (EC 2.7.7.22) / Mannose-6-phosphate isomerase 5.3.1.8)	19.0
	metacyc-v4-2011-07-03	2.7.7.13	Alginate biosynthesis protein AlgA OS Pseudomonas putida (strain KT2440) GN algA PE 3 SV 1 # UNIPROT Q88ND5 MANNPISOM-RXN 2.7.7.13 5.3.1.8	30.0

L2_144_34	COG_2013-12-27		COG1087 # M Cell wall/membrane/envelope biogenesis Function: UDP-glucose 4-epimerase Organism: Bacillus halodurans (Bha)	13.0
	refseq-nr-2014-01-18		UDP-glucose 4-epimerase GalE	3.0
	seed-2014-01-30	5.1.3.2	UDP-glucose 4-epimerase (EC 5.1.3.2)	14.0
	metacyc-v4-2011-07-03	5.1.3.2	UDP-glucose 4-epimerase OS Bacillus halodurans GN galE PE 3 SV 1 # UNIPROT Q9KDV3 UDPGLUCEPIM-RXN BHAL272558:BH1108-MONOMER 5.1.3.2	27.0

L2_144_35	COG_2013-12-27		COG1088 # M Cell wall/membrane/envelope biogenesis Function: dTDP-D-glucose 4,6-dehydratase Organism: Escherichia coli K12 (Eco)	14.0
	refseq-nr-2014-01-18		dTDP-glucose 4,6-dehydratase	2.0
	seed-2014-01-30	4.2.1.46	dTDP-glucose 4,6-dehydratase (EC 4.2.1.46)	14.0
	metacyc-v4-2011-07-03	4.2.1.46	dTDP-glucose 4,6-dehydratase 1 OS Escherichia coli (strain K12) GN rfbB PE 3 SV 2 # UNIPROT P37759 DTDPGLUCDEHYDRAT-RXN MetaCyc:DTDPGLUCDEHYDRAT-MONOMER 4.2.1.46	30.0

L2_144_36				
	refseq-nr-2014-01-18		dTDP-4-dehydrorhamnose reductase	2.0
	seed-2014-01-30	1.1.1.133	dTDP-4-dehydrorhamnose reductase (EC 1.1.1.133)	14.0

L2_144_37				
	seed-2014-01-30		FIG00495911: 	1.0

L2_144_38				
	seed-2014-01-30		FIG00496777: 	1.0

L2_144_39				
	refseq-nr-2014-01-18		short-chain dehydrogenase	2.0
	seed-2014-01-30		oxidoreductase, short-chain dehydrogenase/reductase family	4.0

L2_144_40				
	refseq-nr-2014-01-18		Ribulose bisphosphate carboxylase, large chain	5.0
	seed-2014-01-30		similar to ribulose-1,5-bisphosphate carboxylase, Type III	6.0

L2_144_41	COG_2013-12-27		COG1830 # G Carbohydrate transport metabolism Function: DhnA-type fructose-1,6-bisphosphate aldolase related enzymes Organism: Escherichia coli O157:H7 EDL933 (EcZ)	18.0
	refseq-nr-2014-01-18		aldolase	1.0
	seed-2014-01-30		Autoinducer 2 (AI-2) aldolase LsrF (EC 4.2.1.-)	7.0

L2_144_42				
	refseq-nr-2014-01-18		Class II aldolase/adducin family protein	4.0
	seed-2014-01-30		Putative oxidoreductase	2.0

L2_144_43				
	seed-2014-01-30		FIG00496334: 	1.0

L2_144_44				
	refseq-nr-2014-01-18		2-oxoglutarate synthase	2.0
	seed-2014-01-30		2-vinyl bacteriochlorophyllide hydratase BchF (EC 4.2.1.-)	6.0

L2_144_45				
	refseq-nr-2014-01-18		recombinase RecX	2.0
	seed-2014-01-30		Regulatory protein RecX	2.0

L2_144_46	COG_2013-12-27		COG0528 # F Nucleotide transport metabolism Function: Uridylate kinase Organism: Nostoc sp. PCC 7120 (Nos)	15.0
	refseq-nr-2014-01-18		uridylate kinase	2.0
	seed-2014-01-30		Uridylate kinase (EC 2.7.4.-)	4.0
	metacyc-v4-2011-07-03	2.7.4.22	Uridylate kinase OS Synechocystis sp. (strain ATCC 27184 / PCC 6803 N-1) GN pyrH PE 3 SV 1 # UNIPROT P74457 2.7.4.22-RXN SSP1148:SLL0144-MONOMER 2.7.4.22	34.0

L2_144_47				
	refseq-nr-2014-01-18		elongation factor Ts	3.0
	seed-2014-01-30		Translation elongation factor Ts	4.0

