ORF_ID	ORF_length	start	end	Contig_Name	Contig_length	strand	ec	taxonomy	product
P1_119_0	44	0	132	P1_119	132	+		root	hypothetical protein
P1_132_0	35	0	105	P1_132	105	+		root	hypothetical protein
P1_133_0	82	0	246	P1_133	246	+		root	hypothetical protein
P1_130_0	35	0	105	P1_130	105	+		root	hypothetical protein
P1_131_0	66	0	198	P1_131	198	+		root	hypothetical protein
P1_136_0	56	0	168	P1_136	168	+		root	hypothetical protein
P1_137_0	54	0	162	P1_137	162	+		root	hypothetical protein
P1_134_0	90	0	270	P1_134	270	+		root	COG0444 # EP Function: ABC-type dipeptide/oligopeptide/nickel transport system, ATPase component Organism: Staphylococcus aureus N315 (Sau)
P1_135_0	51	0	153	P1_135	153	+		root	hypothetical protein
P1_138_0	119	0	357	P1_138	357	+		root	hypothetical protein
P1_139_0	237	0	711	P1_139	711	+		root	hypothetical protein
P1_117_0	57	0	171	P1_117	171	+		root	hypothetical protein
P1_78_0	46	0	138	P1_78	138	+		root	hypothetical protein
P1_79_0	68	0	204	P1_79	204	+		root	hypothetical protein
P1_74_0	43	0	129	P1_74	129	+		root	hypothetical protein
P1_75_0	58	0	174	P1_75	174	+		root	hypothetical protein
P1_76_0	41	0	123	P1_76	123	+		root	hypothetical protein
P1_77_0	46	0	138	P1_77	138	+		root	hypothetical protein
P1_70_0	116	0	348	P1_70	348	+		root	hypothetical protein
P1_71_0	242	0	726	P1_71	726	+		root	hypothetical protein
P1_72_0	40	0	120	P1_72	120	+		root	hypothetical protein
P1_73_0	33	0	99	P1_73	99	+		root	hypothetical protein
P1_0_0	48	0	144	P1_0	144	+		root	hypothetical protein
P1_1_0	35	0	105	P1_1	105	+		root	hypothetical protein
P1_2_0	38	0	114	P1_2	114	+		root	hypothetical protein
P1_3_0	43	0	129	P1_3	129	+		root	hypothetical protein
P1_4_0	50	0	150	P1_4	150	+		root	hypothetical protein
P1_5_0	48	0	144	P1_5	144	+		root	hypothetical protein
P1_127_0	88	0	264	P1_127	264	+		root	COG5272 # O Posttranslational modification, protein turnover, chaperones Function: Ubiquitin Organism: Saccharomyces cerevisiae (Sce)
P1_126_0	88	0	264	P1_126	264	+		root	hypothetical protein
P1_8_0	48	0	144	P1_8	144	+		root	hypothetical protein
P1_9_0	44	0	132	P1_9	132	+		root	hypothetical protein
P1_121_0	57	0	171	P1_121	171	+		root	hypothetical protein
P1_120_0	67	0	201	P1_120	201	+		root	COG1837 # R General function prediction only Function: Predicted RNA-binding protein (contains KH domain) Organism: Bacillus subtilis (Bsu)
P1_123_0	80	0	240	P1_123	240	+		root	hypothetical protein
P1_122_0	149	0	447	P1_122	447	+		root	hypothetical protein
P1_125_0	133	0	399	P1_125	399	+		root	hypothetical protein
P1_124_0	74	0	222	P1_124	222	+		root	hypothetical protein
P1_118_0	67	0	201	P1_118	201	+		root	hypothetical protein
P1_6_0	56	0	168	P1_6	168	+		root	hypothetical protein
P1_114_0	65	0	195	P1_114	195	+		root	hypothetical protein
P1_115_0	45	0	135	P1_115	135	+		root	hypothetical protein
P1_116_0	43	0	129	P1_116	129	+		root	hypothetical protein
P1_7_0	79	0	237	P1_7	237	+		root	hypothetical protein
P1_110_0	116	0	348	P1_110	348	+		root	hypothetical protein
P1_111_0	95	0	285	P1_111	285	+		root	hypothetical protein
P1_112_0	30	0	90	P1_112	90	+		root	hypothetical protein
P1_113_0	69	0	207	P1_113	207	+		root	hypothetical protein
P1_129_0	124	0	372	P1_129	372	+		root	hypothetical protein
P1_128_0	82	0	246	P1_128	246	+		root	COG5272 # O Posttranslational modification, protein turnover, chaperones Function: Ubiquitin Organism: Saccharomyces cerevisiae (Sce)
