orf_id	ref dbname	EC	product	value
gridtest_83_15	COG_2013-12-27		COG0134 # E Amino acid transport metabolism Function: Indole-3-glycerol phosphate synthase Organism: Nostoc sp. PCC 7120 (Nos)	17.0
	metacyc-v4-2011-07-03	4.1.1.48	Indole-3-glycerol phosphate synthase OS Chloroherpeton thalassium (strain ATCC 35110 / GB-78) GN trpC PE 3 SV 1 # UNIPROT B3QZD6 IGPSYN-RXN 4.1.1.48	32.0

gridtest_83_16	COG_2013-12-27		COG0458 # EF Function: Carbamoylphosphate synthase large subunit (split gene MJ) Organism: Nostoc sp. PCC 7120 (Nos)	17.0
	metacyc-v4-2011-07-03	6.3.5.5	Carbamoyl-phosphate synthase large chain OS Thermomicrobium roseum (strain ATCC 27502 / DSM 5159 P-2) GN carB PE 3 SV 1 # UNIPROT B9KXM5 CARBPSYN-RXN 6.3.5.5	35.0

gridtest_83_18	COG_2013-12-27		COG0151 # F Nucleotide transport metabolism Function: Phosphoribosylamine-glycine ligase Organism: Escherichia coli O157:H7 EDL933 (EcZ)	15.0
	metacyc-v4-2011-07-03	6.3.4.13	Phosphoribosylamine--glycine ligase OS Nostoc sp. (strain PCC 7120 / UTEX 2576) GN purD PE 3 SV 1 # UNIPROT Q8YRD8 GLYRIBONUCSYN-RXN NSP103690:ALR3510-MONOMER 6.3.4.13	33.0

gridtest_83_20				
	metacyc-v4-2011-07-03	2.7.1.130	Tetraacyldisaccharide 4'-kinase OS Chlorobaculum parvum (strain NCIB 8327) GN lpxK PE 3 SV 1 # UNIPROT B3QLP5 TETRAACYLDISACC4KIN-RXN 2.7.1.130	29.0

gridtest_83_23	COG_2013-12-27		COG3155 # Q Secondary metabolites biosynthesis, transport catabolism Function: Uncharacterized protein involved early stage isoprenoid biosynthesis Organism: Escherichia coli O157:H7 EDL933 (EcZ)	21.0

gridtest_83_27	COG_2013-12-27		COG0574 # G Carbohydrate transport metabolism Function: Phosphoenolpyruvate synthase/pyruvate phosphate dikinase Organism: Methanosarcina acetivorans str.C2A (Mac)	16.0
	metacyc-v4-2011-07-03	2.7.9.1	Pyruvate, phosphate dikinase 1, chloroplastic OS Arabidopsis thaliana GN PPDK PE 1 SV 2 # UNIPROT O23404 PYRUVATEORTHOPHOSPHATE-DIKINASE-RXN 2.7.9.1	29.0

gridtest_83_29	COG_2013-12-27		COG0178 # L Replication, recombination repair Function: Excinuclease ATPase subunit Organism: Ralstonia solanacearum (Rso)	14.0

gridtest_83_39	COG_2013-12-27		NULL # R General function prediction only Function: Predicted nucleic acid-binding protein, contains PIN domain Organism: Nostoc sp. PCC 7120 (Nos)	21.0

gridtest_83_41	COG_2013-12-27		COG0836 # M Cell wall/membrane/envelope biogenesis Function: Mannose-1-phosphate guanylyltransferase Organism: Escherichia coli K12 (Eco)	14.0
	metacyc-v4-2011-07-03	2.7.7.13	Alginate biosynthesis protein AlgA OS Pseudomonas putida (strain KT2440) GN algA PE 3 SV 1 # UNIPROT Q88ND5 MANNPISOM-RXN 2.7.7.13 5.3.1.8	30.0

gridtest_83_42	COG_2013-12-27		COG1898 # M Cell wall/membrane/envelope biogenesis Function: dTDP-4-dehydrorhamnose 3,5-epimerase related enzymes Organism: Salmonella typhimurium LT2 (Sty)	16.0
	metacyc-v4-2011-07-03	5.1.3.13	dTDP-4-dehydrorhamnose 3,5-epimerase OS Escherichia coli (strain K12) GN rfbC PE 1 SV # UNIPROT P37745 DTDPDEHYDRHAMEPIM-RXN MetaCyc:DTDPDEHYDRHAMEPIM-MONOMER 5.1.3.13	28.0

gridtest_83_43	COG_2013-12-27		COG1209 # M Cell wall/membrane/envelope biogenesis Function: dTDP-glucose pyrophosphorylase Organism: Neisseria meningitidis MC58 (Nme)	14.0
	metacyc-v4-2011-07-03	2.7.7.24	Glucose-1-phosphate thymidylyltransferase OS Xanthomonas campestris pv. (strain B100) GN rmlA PE 3 SV 1 # UNIPROT B0RVK9 DTDPGLUCOSEPP-RXN 2.7.7.24	29.0

gridtest_86_2	COG_2013-12-27		COG0722 # E Amino acid transport metabolism Function: 3-deoxy-D-arabino-heptulosonate 7-phosphate (DAHP) synthase Organism: Escherichia coli O157:H7 EDL933 (EcZ)	18.0
	metacyc-v4-2011-07-03	2.5.1.54	Phospho-2-dehydro-3-deoxyheptonate aldolase OS Haemophilus influenzae (strain ATCC 51907 / DSM 11121 KW20 Rd) GN aroG PE 3 SV 1 # UNIPROT P44303 DAHPSYN-RXN 2.5.1.54	34.0

gridtest_86_3	COG_2013-12-27		COG0111 # HE Function: Phosphoglycerate dehydrogenase related dehydrogenases Organism: Agrobacterium tumefaciens strain C58 (Cereon) (Atu)	15.0
	metacyc-v4-2011-07-03	1.1.1.95	D-3-phosphoglycerate dehydrogenase OS Archaeoglobus fulgidus (strain ATCC 49558 / VC-16 DSM 4304 JCM 9628 NBRC 100126) GN serA PE 3 SV 1 # UNIPROT O29445 PGLYCDEHYDROG-RXN 1.1.1.95	37.0

gridtest_86_4	COG_2013-12-27		COG0003 # P Inorganic ion transport metabolism Function: Oxyanion-translocating ATPase Organism: Nostoc sp. PCC 7120 (Nos)	16.0

gridtest_86_7	COG_2013-12-27		COG1970 # M Cell wall/membrane/envelope biogenesis Function: Large-conductance mechanosensitive channel Organism: Escherichia coli O157:H7 EDL933 (EcZ)	16.0

gridtest_86_11	COG_2013-12-27		COG0424 # D Cell cycle control, cell division, chromosome partitioning Function: Nucleotide-binding protein implicated inhibition septum formation Organism: Bacillus halodurans (Bha)	20.0

gridtest_88_3	COG_2013-12-27		COG1154 # HI Function: Deoxyxylulose-5-phosphate synthase Organism: Aquifex aeolicus (Aae)	10.0
	metacyc-v4-2011-07-03	2.2.1.7	1-deoxy-D-xylulose-5-phosphate synthase OS Bacteroides fragilis (strain ATCC 25285 / NCTC 9343) GN dxs PE 3 SV 1 # UNIPROT Q5LH44 DXS-RXN BFRA272559:BF0796-MONOMER 2.2.1.7	33.0

gridtest_88_4	COG_2013-12-27		COG0432 # S Function unknown Function: Uncharacterized conserved protein Organism: Nostoc sp. PCC 7120 (Nos)	13.0

gridtest_88_6	COG_2013-12-27		COG0210 # L Replication, recombination repair Function: Superfamily I DNA RNA helicases Organism: Staphylococcus aureus N315 (Sau)	17.0

gridtest_88_7	COG_2013-12-27		COG1819 # GC Function: Glycosyl transferases, related to UDP-glucuronosyltransferase Organism: Vibrio cholerae (Vch)	13.0

gridtest_88_9	COG_2013-12-27		COG2360 # O Posttranslational modification, protein turnover, chaperones Function: Leu/Phe-tRNA-protein transferase Organism: Agrobacterium tumefaciens strain C58 (Cereon) (Atu)	17.0

gridtest_88_12	COG_2013-12-27		COG2838 # C Energy production conversion Function: Monomeric isocitrate dehydrogenase Organism: Neisseria meningitidis Z2491 (NmA)	15.0
	metacyc-v4-2011-07-03	1.1.1.42	Isocitrate dehydrogenase 2 OS Colwellia maris GN icd2 PE 1 SV 3 # UNIPROT P41561 ISOCITDEH-RXN 1.1.1.42	27.0

gridtest_88_18	COG_2013-12-27		COG0031 # E Amino acid transport metabolism Function: Cysteine synthase Organism: Agrobacterium tumefaciens strain C58 (Cereon) (Atu)	17.0
	metacyc-v4-2011-07-03	2.5.1.47	Cysteine synthase, plasmid OS Synechococcus elongatus (strain PCC 7942) GN srpG PE 3 SV 1 # UNIPROT Q59966 ACSERLY-RXN 2.5.1.47	30.0

gridtest_88_19	COG_2013-12-27		COG1741 # R General function prediction only Function: Pirin-related protein Organism: Methanosarcina acetivorans str.C2A (Mac)	14.0

gridtest_88_20	COG_2013-12-27		COG1692 # S Function unknown Function: Uncharacterized protein conserved bacteria Organism: Listeria innocua (Lin)	12.0

gridtest_88_21	COG_2013-12-27		COG0158 # G Carbohydrate transport metabolism Function: Fructose-1,6-bisphosphatase Organism: Salmonella typhimurium LT2 (Sty)	13.0
	metacyc-v4-2011-07-03	3.1.3.11	Fructose-1,6-bisphosphatase class 1 OS Desulfovibrio salexigens (strain ATCC 14822 / DSM 2638 NCIB 8403 VKM B-1763) GN fbp PE 3 SV # UNIPROT C6BTU7 F16BDEPHOS-RXN 3.1.3.11	36.0

gridtest_88_24	COG_2013-12-27		COG0463 # M Cell wall/membrane/envelope biogenesis Function: Glycosyltransferases involved cell wall Organism: Nostoc sp. PCC 7120 (Nos)	17.0

gridtest_88_27	COG_2013-12-27		COG1230 # P Inorganic ion transport metabolism Function: Co/Zn/Cd efflux system component Organism: Methanosarcina acetivorans str.C2A (Mac)	17.0

gridtest_88_28	COG_2013-12-27		COG3040 # M Cell wall/membrane/envelope biogenesis Function: Bacterial lipocalin Organism: Salmonella typhimurium LT2 (Sty)	14.0

gridtest_88_34	COG_2013-12-27		COG1271 # C Energy production conversion Function: Cytochrome bd-type quinol oxidase, subunit 1 Organism: Mycobacterium tuberculosis H37Rv (Mtu)	18.0

gridtest_88_48	COG_2013-12-27		COG3278 # O Posttranslational modification, protein turnover, chaperones Function: Cbb3-type cytochrome oxidase, subunit 1 Organism: Helicobacter pylori 26695 (Hpy)	18.0
	metacyc-v4-2011-07-03	1.9.3.1	Cytochrome c oxidase subunit 1 homolog OS Azorhizobium caulinodans (strain ATCC 43989 / DSM 5975 ORS 571) GN fixN PE 3 SV # UNIPROT P98056 CYTOCHROME-C-OXIDASE-RXN 1.9.3.1	37.0

gridtest_139_0	COG_2013-12-27		COG0798 # P Inorganic ion transport metabolism Function: Arsenite efflux pump ACR3 related permeases Organism: Archaeoglobus fulgidus (Afu)	18.0
	metacyc-v4-2011-07-03	2.8.4.2	Arsenite efflux pump ACR3 or related permease OS Corynebacterium glutamicum GN arsC2 PE 4 SV 1 # UNIPROT Q6M576 RXN-11187 MetaCyc:MONOMER-15361 2.8.4.2	32.0

gridtest_139_1	COG_2013-12-27		COG0394 # T Signal transduction mechanisms Function: Protein-tyrosine-phosphatase Organism: Aquifex aeolicus (Aae)	12.0

gridtest_139_2	COG_2013-12-27		COG0701 # R General function prediction only Function: Predicted permeases Organism: Nostoc sp. PCC 7120 (Nos)	16.0

gridtest_138_2	COG_2013-12-27		NULL # L Replication, recombination repair Function: Type IIA topoisomerase (DNA gyrase/topo II, IV), A subunit Organism: Thermotoga maritima (Tma)	20.0

gridtest_138_3	COG_2013-12-27		COG0526 # OC Function: Thiol-disulfide isomerase thioredoxins Organism: Nostoc sp. PCC 7120 (Nos)	13.0
	metacyc-v4-2011-07-03	1.8.1.9	Bifunctional thioredoxin reductase/thioredoxin OS Mycobacterium leprae GN trxB/A PE 3 SV 1 # UNIPROT P46843 THIOREDOXIN-REDUCT-NADPH-RXN MLEP272631:ML2703-MONOMER 1.8.1.9	28.0

gridtest_138_4	COG_2013-12-27		COG0492 # O Posttranslational modification, protein turnover, chaperones Function: Thioredoxin reductase Organism: Nostoc sp. PCC 7120 (Nos)	16.0
	metacyc-v4-2011-07-03	1.8.1.9	Bifunctional thioredoxin reductase/thioredoxin OS Mycobacterium leprae GN trxB/A PE 3 SV 1 # UNIPROT P46843 THIOREDOXIN-REDUCT-NADPH-RXN MLEP272631:ML2703-MONOMER 1.8.1.9	28.0

gridtest_138_6				
	metacyc-v4-2011-07-03		Anaerobic magnesium-protoporphyrin IX monomethyl ester cyclase OS Rhodobacter capsulatus (strain ATCC BAA-309 / NBRC 16581 SB1003) GN bchE PE 3 SV 1 # UNIPROT P26168 RXN-8799 MetaCyc:MONOMER-13265 NIL	28.0

gridtest_138_10				
	metacyc-v4-2011-07-03	6.6.1.1	Magnesium-chelatase subunit H OS Chlorobaculum parvum (strain NCIB 8327) GN bchH PE 3 SV 2 # UNIPROT O50314 RXN1F-20 6.6.1.1	30.0

gridtest_138_17	COG_2013-12-27		COG0003 # P Inorganic ion transport metabolism Function: Oxyanion-translocating ATPase Organism: Nostoc sp. PCC 7120 (Nos)	16.0

gridtest_138_30	COG_2013-12-27		COG0042 # J Translation, ribosomal structure biogenesis Function: tRNA-dihydrouridine synthase Organism: Bacillus halodurans (Bha)	14.0

gridtest_138_31	COG_2013-12-27		COG0136 # E Amino acid transport metabolism Function: Aspartate-semialdehyde dehydrogenase Organism: Vibrio cholerae (Vch)	14.0
	metacyc-v4-2011-07-03	1.2.1.11	Aspartate-semialdehyde dehydrogenase OS Rickettsia bellii (strain RML369-C) GN asd PE 3 SV 1 # UNIPROT Q1RIB3 ASPARTATE-SEMIALDEHYDE-DEHYDROGENASE-RXN 1.2.1.11	28.0

gridtest_138_34				
	metacyc-v4-2011-07-03	5.1.1.1	Alanine racemase OS Chlorobium tepidum GN alr PE 3 SV 1 # UNIPROT Q8KB67 ALARACECAT-RXN 5.1.1.1	26.0

gridtest_138_37				
	metacyc-v4-2011-07-03	2.5.1.19	3-phosphoshikimate 1-carboxyvinyltransferase OS Salinibacter ruber (strain DSM 13855 / M31) GN aroA PE 3 SV 1 # UNIPROT Q2S4R9 2.5.1.19-RXN 2.5.1.19	31.0

gridtest_138_42	COG_2013-12-27		COG0724 # R General function prediction only Function: RNA-binding proteins (RRM domain) Organism: Nostoc sp. PCC 7120 (Nos)	18.0

gridtest_138_44	COG_2013-12-27		COG1137 # R General function prediction only Function: ABC-type (unclassified) transport system, ATPase component Organism: Agrobacterium tumefaciens strain C58 (Cereon) (Atu)	21.0

gridtest_138_48	COG_2013-12-27		COG0663 # R General function prediction only Function: Carbonic anhydrases/acetyltransferases, isoleucine patch superfamily Organism: Methanosarcina acetivorans str.C2A (Mac)	18.0

gridtest_136_1	COG_2013-12-27		COG0166 # G Carbohydrate transport metabolism Function: Glucose-6-phosphate isomerase Organism: Escherichia coli O157:H7 EDL933 (EcZ)	15.0
	metacyc-v4-2011-07-03	5.3.1.9	Glucose-6-phosphate isomerase OS Deinococcus geothermalis (strain DSM 11300) GN pgi PE 3 SV 2 # UNIPROT Q1IYT4 PGLUCISOM-RXN 5.3.1.9	29.0

gridtest_136_2	COG_2013-12-27		COG0347 # E Amino acid transport metabolism Function: Nitrogen regulatory protein PII Organism: Brucella melitensis (Bme)	15.0

gridtest_136_4	COG_2013-12-27		COG0004 # P Inorganic ion transport metabolism Function: Ammonia permease Organism: Thermotoga maritima (Tma)	14.0

gridtest_136_5	COG_2013-12-27		COG0347 # E Amino acid transport metabolism Function: Nitrogen regulatory protein PII Organism: Caulobacter vibrioides (Ccr)	15.0

gridtest_131_2	COG_2013-12-27		COG1274 # C Energy production conversion Function: Phosphoenolpyruvate carboxykinase (GTP) Organism: Mycobacterium tuberculosis H37Rv (Mtu)	15.0

gridtest_131_3	COG_2013-12-27		COG3360 # S Function unknown Function: Uncharacterized conserved protein Organism: Sinorhizobium meliloti (Sme)	11.0

gridtest_131_4	COG_2013-12-27		COG4279 # S Function unknown Function: Uncharacterized conserved protein Organism: Methanosarcina acetivorans str.C2A (Mac)	12.0

gridtest_131_5	COG_2013-12-27		COG0553 # KL Function: Superfamily II DNA/RNA helicases, SNF2 family Organism: Methanosarcina acetivorans str.C2A (Mac)	15.0

gridtest_131_21	COG_2013-12-27		COG0161 # H Coenzyme transport metabolism Function: Adenosylmethionine-8-amino-7-oxononanoate aminotransferase Organism: Mesorhizobium loti (Mlo)	13.0

gridtest_131_23	COG_2013-12-27		COG2873 # E Amino acid transport metabolism Function: O-acetylhomoserine sulfhydrylase Organism: Thermotoga maritima (Tma)	14.0
	metacyc-v4-2011-07-03	2.5.1.47	Protein MET17 OS Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN PE 1 SV 3 # UNIPROT P06106 ACSERLY-RXN MetaCyc:MONOMER-387 2.5.1.47	31.0

gridtest_131_26	COG_2013-12-27		NULL # S Function unknown Function: Uncharacterized protein containing LysM domain Organism: Nostoc sp. PCC 7120 (Nos)	16.0

gridtest_131_31	COG_2013-12-27		COG0216 # J Translation, ribosomal structure biogenesis Function: Protein chain release factor A Organism: Staphylococcus aureus N315 (Sau)	18.0

gridtest_131_33	COG_2013-12-27		COG0743 # I Lipid transport metabolism Function: 1-deoxy-D-xylulose 5-phosphate reductoisomerase Organism: Nostoc sp. PCC 7120 (Nos)	16.0
	metacyc-v4-2011-07-03	1.1.1.267	1-deoxy-D-xylulose 5-phosphate reductoisomerase OS Geobacter lovleyi (strain ATCC BAA-1151 / DSM 17278 SZ) GN dxr PE 3 SV 1 # UNIPROT B3E7B0 DXPREDISOM-RXN 1.1.1.267	34.0

gridtest_131_36	COG_2013-12-27		COG0465 # O Posttranslational modification, protein turnover, chaperones Function: ATP-dependent Zn proteases Organism: Nostoc sp. PCC 7120 (Nos)	17.0

gridtest_131_37				
	metacyc-v4-2011-07-03	4.1.1.23	Orotidine 5'-phosphate decarboxylase OS Parabacteroides distasonis (strain ATCC 8503 / DSM 20701 NCTC 11152) GN pyrF PE 3 SV 1 # UNIPROT A6LDS0 OROTPDECARB-RXN 4.1.1.23	35.0

gridtest_131_38	COG_2013-12-27		COG0449 # M Cell wall/membrane/envelope biogenesis Function: Glucosamine 6-phosphate synthetase, contains amidotransferase phosphosugar isomerase domains Organism: Methanosarcina acetivorans str.C2A (Mac)	20.0
	metacyc-v4-2011-07-03	2.6.1.16	Glucosamine--fructose-6-phosphate aminotransferase OS Methanosarcina acetivorans (strain ATCC 35395 / DSM 2834 JCM 12185 C2A) GN glmS PE 3 SV # UNIPROT Q8TLL3 L-GLN-FRUCT-6-P-AMINOTRANS-RXN MACE188937:MA3023-MONOMER 2.6.1.16	35.0

gridtest_131_39	COG_2013-12-27		COG1090 # R General function prediction only Function: Predicted nucleoside-diphosphate sugar epimerase Organism: Nostoc sp. PCC 7120 (Nos)	18.0

gridtest_131_41	COG_2013-12-27		COG0724 # R General function prediction only Function: RNA-binding proteins (RRM domain) Organism: Nostoc sp. PCC 7120 (Nos)	18.0

gridtest_131_42	COG_2013-12-27		COG0004 # P Inorganic ion transport metabolism Function: Ammonia permease Organism: Neisseria meningitidis Z2491 (NmA)	15.0

gridtest_131_43	COG_2013-12-27		COG0347 # E Amino acid transport metabolism Function: Nitrogen regulatory protein PII Organism: Mycobacterium tuberculosis H37Rv (Mtu)	16.0

gridtest_131_49	COG_2013-12-27		COG2944 # K Transcription Function: Predicted transcriptional regulator Organism: Escherichia coli O157:H7 EDL933 (EcZ)	14.0

gridtest_131_50	COG_2013-12-27		COG4737 # S Function unknown Function: Uncharacterized protein conserved bacteria Organism: Neisseria meningitidis Z2491 (NmA)	13.0

gridtest_131_54	COG_2013-12-27		COG0188 # L Replication, recombination repair Function: Type IIA topoisomerase (DNA gyrase/topo II, IV), A subunit Organism: Methanosarcina acetivorans str.C2A (Mac)	21.0

gridtest_131_56	COG_2013-12-27		COG0504 # F Nucleotide transport metabolism Function: CTP synthase (UTP-ammonia lyase) Organism: Methanococcus jannaschii (Mja)	15.0
	metacyc-v4-2011-07-03	6.3.4.2	CTP synthase OS Coprothermobacter proteolyticus (strain ATCC 35245 / DSM 5265 BT) GN pyrG PE 3 SV 1 # UNIPROT B5Y8A3 CTPSYN-RXN 6.3.4.2	33.0

gridtest_130_2	COG_2013-12-27		COG0778 # C Energy production conversion Function: Nitroreductase Organism: Agrobacterium tumefaciens strain C58 (Cereon) (Atu)	15.0
	metacyc-v4-2011-07-03	1.14.99.40	BluB OS Rhizobium meliloti GN bluB PE 1 SV # UNIPROT Q92PC8 RXN-8771 SMEL266834:SMC00166-MONOMER 1.14.99.40	25.0

gridtest_130_3	COG_2013-12-27		COG1492 # H Coenzyme transport metabolism Function: Cobyric acid synthase Organism: Salmonella typhimurium LT2 (Sty)	15.0
	metacyc-v4-2011-07-03	6.3.5.10	Adenosylcobyric acid synthase (Glutamine-hydrolysing) OS Geobacter uraniireducens (strain Rf4) GN PE 3 SV 1 # UNIPROT A5GDT2 R345-RXN 6.3.5.10	29.0

gridtest_130_6	COG_2013-12-27		COG2109 # H Coenzyme transport metabolism Function: ATP:corrinoid adenosyltransferase Organism: Pseudomonas aeruginosa (Pae)	13.0
	metacyc-v4-2011-07-03	2.5.1.17	Cob(I)yrinic acid a,c-diamide adenosyltransferase OS Pseudomonas aeruginosa GN cobO PE 3 SV 1 # UNIPROT Q9I472 R344-RXN PAER208964:PA1272-MONOMER 2.5.1.17	29.0

gridtest_133_3	COG_2013-12-27		COG0249 # L Replication, recombination repair Function: Mismatch ATPase (MutS family) Organism: Methanosarcina acetivorans str.C2A (Mac)	16.0

gridtest_133_5	COG_2013-12-27		COG0211 # J Translation, ribosomal structure biogenesis Function: Ribosomal protein L27 Organism: Nostoc sp. PCC 7120 (Nos)	16.0

gridtest_133_6	COG_2013-12-27		COG0039 # C Energy production conversion Function: Malate/lactate dehydrogenases Organism: Methanosarcina acetivorans str.C2A (Mac)	14.0
	metacyc-v4-2011-07-03	1.1.1.37	Malate dehydrogenase OS Thermoplasma acidophilum (strain ATCC 25905 / DSM 1728 JCM 9062 NBRC 15155 AMRC-C165) GN mdh PE 3 SV 1 # UNIPROT Q9HJL5 MALATE-DEH-RXN TACI273075:TA0952-MONOMER 1.1.1.37	38.0

gridtest_133_9	COG_2013-12-27		COG0388 # R General function prediction only Function: Predicted amidohydrolase Organism: Helicobacter pylori J99 (jHp)	15.0
	metacyc-v4-2011-07-03	3.5.1.6	B-alanine synthase OS Brevibacillus agri GN pydC PE 4 SV 1 # UNIPROT Q846U4 RXN-11210 MetaCyc:MONOMER-15400 3.5.1.6 NIL	28.0

gridtest_132_0	COG_2013-12-27		COG1217 # T Signal transduction mechanisms Function: Predicted membrane GTPase involved stress response Organism: Neisseria meningitidis MC58 (Nme)	18.0

gridtest_132_2	COG_2013-12-27		COG3335 # L Replication, recombination repair Function: Transposase inactivated derivatives Organism: Ralstonia solanacearum (Rso)	14.0

gridtest_141_0	COG_2013-12-27		COG1219 # O Posttranslational modification, protein turnover, chaperones Function: ATP-dependent protease Clp, ATPase subunit Organism: Staphylococcus aureus N315 (Sau)	18.0

gridtest_141_8	COG_2013-12-27		COG0045 # C Energy production conversion Function: Succinyl-CoA synthetase, beta subunit Organism: Staphylococcus aureus N315 (Sau)	16.0
	metacyc-v4-2011-07-03	6.2.1.5	Succinyl-CoA ligase subunit beta OS Flavobacterium psychrophilum (strain JIP02/86 / ATCC 49511) GN sucC PE 3 SV 1 # UNIPROT A6GY30 SUCCCOASYN-RXN 6.2.1.5	33.0

gridtest_143_0	COG_2013-12-27		COG1049 # C Energy production conversion Function: Aconitase B Organism: Nostoc sp. PCC 7120 (Nos)	15.0
	metacyc-v4-2011-07-03	4.2.1.99	Aconitate hydratase 2 OS Pseudomonas aeruginosa GN acnB PE 3 SV 1 # UNIPROT Q9I2V5 ACONITATEHYDR-RXN PAER208964:PA1787-MONOMER 4.2.1.99 4.2.1.3	29.0

gridtest_143_3	COG_2013-12-27		COG0766 # M Cell wall/membrane/envelope biogenesis Function: UDP-N-acetylglucosamine enolpyruvyl transferase Organism: Salmonella typhimurium LT2 (Sty)	15.0
	metacyc-v4-2011-07-03	2.5.1.7	UDP-N-acetylglucosamine 1-carboxyvinyltransferase OS Rhodospirillum centenum (strain ATCC 51521 / SW) GN murA PE 3 SV 1 # UNIPROT B6INF7 UDPNACETYLGLUCOSAMENOLPYRTRANS-RXN 2.5.1.7	31.0

gridtest_143_5	COG_2013-12-27		COG0171 # H Coenzyme transport metabolism Function: NAD synthase Organism: Fusobacterium nucleatum (Fnu)	13.0
