orf_id	ref dbname	EC	product	value
	metacyc-v4-2011-07-03	2.3.1.54	Formate acetyltransferase OS Haemophilus influenzae (strain ATCC 51907 / DSM 11121 KW20 Rd) GN pflB PE 3 SV 2 # UNIPROT P43753 PYRUVFORMLY-RXN 2.3.1.54	34.0

A2_3_0	COG_2013-12-27		COG3839 # G Carbohydrate transport metabolism Function: ABC-type sugar systems, ATPase components Organism: Salmonella typhimurium LT2 (Sty)	17.0
	refseq-nr-2014-01-18		sugar ABC transporter ATP-binding protein	4.0
	seed-2014-01-30	3.6.3.19	Maltose/maltodextrin transport ATP-binding protein MalK (EC 3.6.3.19)	16.0

A2_4_0	COG_2013-12-27		COG0459 # O Posttranslational modification, protein turnover, chaperones Function: Chaperonin GroEL (HSP60 family) Organism: Sinorhizobium meliloti (Sme)	16.0
	refseq-nr-2014-01-18		chaperonin, 60 kDa, partial	4.0
	seed-2014-01-30		Heat shock protein 60 family chaperone GroEL	6.0

A2_5_0	COG_2013-12-27		COG0459 # O Posttranslational modification, protein turnover, chaperones Function: Chaperonin GroEL (HSP60 family) Organism: Sinorhizobium meliloti (Sme)	16.0
	refseq-nr-2014-01-18		chaperonin, 60 kDa, partial	4.0
	seed-2014-01-30		Heat shock protein 60 family chaperone GroEL	6.0

A2_7_0	COG_2013-12-27		COG0372 # C Energy production conversion Function: Citrate synthase Organism: Pasteurella multocida (Pmu)	13.0
	refseq-nr-2014-01-18		type II citrate synthase	4.0
	seed-2014-01-30	2.3.3.1	Citrate synthase (si) (EC 2.3.3.1)	15.0
	metacyc-v4-2011-07-03	2.3.3.1	Citrate synthase OS Corynebacterium glutamicum GN gltA PE 3 SV 1 # UNIPROT P42457 CITSYN-RXN CGLU196627:CG0949-MONOMER 2.3.3.1	27.0

A2_8_0	COG_2013-12-27		COG5256 # J Translation, ribosomal structure biogenesis Function: Translation elongation factor EF-1alpha (GTPase) Organism: Saccharomyces cerevisiae (Sce)	17.0
	refseq-nr-2014-01-18		translation elongation factor aEF-1 alpha	5.0
	seed-2014-01-30		Translation elongation factor 1 alpha subunit	6.0

A2_9_0	COG_2013-12-27		COG0459 # O Posttranslational modification, protein turnover, chaperones Function: Chaperonin GroEL (HSP60 family) Organism: Mycobacterium tuberculosis H37Rv (Mtu)	17.0
	refseq-nr-2014-01-18		molecular chaperone GroEL	3.0
	seed-2014-01-30		Heat shock protein 60 family chaperone GroEL	6.0

